time,open,high,low,close,volume
16-04-2021,1936.6,1949.9,1926.45,1932.1,7225679
19-04-2021,1904,1916.4,1890,1901.7,8527967
20-04-2021,1910.5,1919,1890.45,1901.15,7939490
22-04-2021,1892.25,1914.45,1876.7,1906.4,6687573
23-04-2021,1906,1918.9,1895.35,1904.35,5459016
26-04-2021,1920,1962,1911.5,1937.85,9620785
27-04-2021,1940,1997.2,1938.25,1988.65,9226547
28-04-2021,1997.85,2008,1980.15,1997.3,7902002
29-04-2021,2022.9,2044.5,2007.3,2024.05,8035915
30-04-2021,2008.5,2036,1987.55,1994.5,9150974
03-05-2021,1966,1979,1943.1,1959.05,10909942
04-05-2021,1950,1967.8,1911,1916.6,10083693
05-05-2021,1923.35,1938.5,1908.05,1920.1,5719649
06-05-2021,1921.85,1935,1906.6,1931,6749281
07-05-2021,1937.75,1955.65,1926,1931.75,5671163
10-05-2021,1939,1946.8,1920.95,1926.2,6433879
11-05-2021,1915,1938.55,1910,1933.15,6220217
12-05-2021,1930.1,1932.9,1907,1913.15,6081627
14-05-2021,1928.05,1942,1906,1937.3,6134079
17-05-2021,1937.3,1963.45,1930.4,1960.35,5479424
18-05-2021,1981,2002.6,1972.5,1987.95,5567958
19-05-2021,1980,2016.45,1972,1997.05,7530294
20-05-2021,1997.9,2010.9,1981,1985.4,5271497
21-05-2021,1992,2009.6,1986,2002.55,4977555
